ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
107522,"Wilhelm Paul Moritz ""Willi"" Schreyer",M,33,NA,NA,Austria,1948,Gymnastics Men's Individual All-Around,NA
107534,Diana Schrder,F,17,5.3,101,Germany,1992,Gymnastics Women's Individual All-Around,NA
107550,George Schroeder,M,NA,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107553,Ren Schroeder,M,27,NA,NA,Luxembourg,1948,Gymnastics Men's Individual All-Around,NA
107569,Clara Marie Schroth-Lomady,F,27,NA,NA,United States,1948,Gymnastics Women's Team All-Around,Bronze
107593,"Edeltraud ""Traudl"" Schubert",F,18,5.3,115,West Germany,1976,Gymnastics Women's Individual All-Around,NA
107607,Fritz Richard Gustav Schuft,M,19,NA,NA,Germany,1896,Gymnastics Men's Horse Vault,NA
107613,Carl Schuhmann,M,26,5.2,154,Germany,1896,Gymnastics Men's Horse Vault,Gold
107630,Michael Schuler,M,30,NA,NA,United States,1932,Gymnastics Men's Individual All-Around,NA
107720,Jenny Schumacher (-Hamoir),F,26,NA,NA,Belgium,1948,Gymnastics Women's Team All-Around,NA
107743,Kroly Schupkgel,M,27,5.2,121,Hungary,1992,Gymnastics Men's Individual All-Around,NA
107772,Philip Nat Schuster,M,21,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107840,Heike Schwarm,F,16,5.3,110,West Germany,1984,Gymnastics Women's Individual All-Around,NA
107846,Charles Schwartz,M,NA,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107863,Karl Schwarz,M,NA,NA,NA,Germany,1906,Gymnastics Men's Individual All-Around,NA
107883,"Johannes ""Hans"" Schwarzentruber",M,23,5.4,128,Switzerland,1952,Gymnastics Men's Individual All-Around,NA
107890,Karl Alfred Markus Schwarzmann,M,24,NA,NA,Germany,1936,Gymnastics Men's Individual All-Around,Gold
107894,Emil John Schwegler,M,25,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107905,Andreas Schweizer,M,24,5.6,150,Switzerland,2004,Gymnastics Men's Individual All-Around,NA
107925,Tasha Schwikert-Warren,F,15,NA,NA,United States,2000,Gymnastics Women's Individual All-Around,NA
107927,Fred Schwind,M,23,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107984,D. Scott,M,NA,NA,NA,Great Britain,1908,Gymnastics Men's Team All-Around,NA
108051,"Edward Joseph ""Ed"" Scrobe",M,25,NA,NA,United States,1948,Gymnastics Men's Individual All-Around,NA
108158,Charles Victor Sederman,M,27,NA,NA,Great Britain,1908,Gymnastics Men's Team All-Around,NA
108175,Jaroslava Sedlkov (imov-),F,18,5.2,115,Czechoslovakia,1964,Gymnastics Women's Individual All-Around,NA
108179,Inge Sedlmaier,F,27,NA,NA,Germany,1952,Gymnastics Women's Individual All-Around,NA
